película,año,actor,imagen
Nerve,2016,https://es.wikipedia.org/wiki/Nerve,https://1.bp.blogspot.com/-znmUrQyHBuk/V69GSQ9zZCI/AAAAAAAAFXk/SzeBMxU8Dcge6OJna_9P_nJ3_y3000AkwCLcB/s1600/nerve3.jpg
It's kind of funny story,2010,https://es.wikipedia.org/wiki/It%27s_Kind_of_a_Funny_Story,http://4.bp.blogspot.com/-WTd2rvmnkII/Ue0fxPVBFQI/AAAAAAAACLI/C-9MYHOW0uw/s1600/do-you-like-the-music.jpg
The art of getting by,2011,https://es.wikipedia.org/wiki/The_Art_of_Getting_By,https://i.pinimg.com/originals/1a/a1/66/1aa1667354aeca417d5c8a4be42d151e.jpg
Juno,2007,https://es.wikipedia.org/wiki/Juno_(pel%C3%ADcula),http://3.bp.blogspot.com/_REgq7wl8ku8/TRMrv2eJw7I/AAAAAAAAAJQ/Le-0OUqetGs/s1600/juno-bleeker-juno-2098226-1024-576.jpg
Tallulah,2016,https://en.wikipedia.org/wiki/Tallulah_(film),https://seriemaniacos.tv/wp-content/uploads/2016/08/Tallulah-750x400.jpg
The Fundamentals of caring,2016,https://en.wikipedia.org/wiki/The_Fundamentals_of_Caring,https://www.dailydot.com/wp-content/uploads/4a7/fe/b9cdf4aad0868d6c6ea9f2760fa4123f.jpg
Ready Player One,2018,https://es.wikipedia.org/wiki/Ready_Player_One,https://hipertextual.com/files/2018/03/ready_player_one_steven_spielberg-1000x667.jpg
Kick-Ass,2010,https://es.wikipedia.org/wiki/Kick-Ass_(pel%C3%ADcula),http://www.demasiadocine.com/wp-content/uploads/2010/05/kick-ass-66.jpg
Las ventajas de ser invisible,2013,https://es.wikipedia.org/wiki/The_Perks_of_Being_a_Wallflower,https://sohomind.com/wp-content/uploads/2015/12/Portadas17.png
Justice League,2017,https://es.wikipedia.org/wiki/Liga_de_la_Justicia_(pel%C3%ADcula) ,https://demoalto-impresionesaerea.netdna-ssl.com/2018/02/liga-de-la-justicia-blu-ray-dvd.jpg
